metric,region,activation,comparison,mean_in,mean_alt,delta,p_raw,n_nonzero,p_holm,better
Dice,ET,LeakyReLU,BN vs IN,0.8117264885625958,0.8094927317451232,-0.0022337568174726208,0.03645461467758038,73,0.1400157888122937,False
Dice,ET,PReLU,BN vs IN,0.8092251461002042,0.8002850255668698,-0.008940120533334484,0.284945931663136,73,0.569891863326272,False
Dice,ET,ReLU,BN vs IN,0.8131104561900009,0.8039654060342502,-0.009145050155750734,0.019042004265857226,73,0.09521002132928613,False
Dice,ET,Swish,BN vs IN,0.8162964962300417,0.8032848235183968,-0.01301167271164494,0.03500394720307343,73,0.1400157888122937,False
Dice,ET,TanhExp,BN vs IN,0.8124710854664715,0.8084022838423414,-0.004068801624130147,0.3130698272740866,73,0.569891863326272,False
Dice,ET,LeakyReLU,GN vs IN,0.8117264885625958,0.8071879765276879,-0.004538512034907849,0.26324567693061063,73,0.8441845691760292,False
Dice,ET,PReLU,GN vs IN,0.8092251461002042,0.8072881229366516,-0.001937023163552598,0.30263848606606203,73,0.8441845691760292,False
Dice,ET,ReLU,GN vs IN,0.8131104561900009,0.8114889518705083,-0.0016215043194925949,0.6902079983494129,73,0.8441845691760292,False
Dice,ET,Swish,GN vs IN,0.8162964962300417,0.8094745440037882,-0.006821952226253591,0.029683857840616223,73,0.14841928920308112,False
Dice,ET,TanhExp,GN vs IN,0.8124710854664715,0.8172500176282698,0.004778932161798255,0.2110461422940073,73,0.8441845691760292,True
Dice,TC,LeakyReLU,BN vs IN,0.8752451073503884,0.8686790541373622,-0.006566053213026168,0.02653684718205218,73,0.05307369436410436,False
Dice,TC,PReLU,BN vs IN,0.874822328526165,0.8583302913628545,-0.01649203716331049,8.147661067159362e-06,73,4.073830533579681e-05,False
Dice,TC,ReLU,BN vs IN,0.8776448857056101,0.8620684784629642,-0.015576407242645862,0.0001832261694709736,73,0.0007329046778838944,False
Dice,TC,Swish,BN vs IN,0.8799811146100666,0.8606593039927167,-0.019321810617349833,0.00031378197542220043,73,0.0009413459262666013,False
Dice,TC,TanhExp,BN vs IN,0.8767917982602964,0.8617729664380289,-0.015018831822267487,0.02768147538485266,73,0.05307369436410436,False
Dice,TC,LeakyReLU,GN vs IN,0.8752451073503884,0.8694574316727092,-0.005787675677679238,0.020792991305456532,73,0.062378973916369596,False
Dice,TC,PReLU,GN vs IN,0.874822328526165,0.8684730848873473,-0.006349243638817725,0.043346905392081414,73,0.08669381078416283,False
Dice,TC,ReLU,GN vs IN,0.8776448857056101,0.8658093790002016,-0.01183550670540845,0.009091601232364521,73,0.045458006161822606,False
Dice,TC,Swish,GN vs IN,0.8799811146100666,0.8724705877077292,-0.007510526902337333,0.010329186726922401,73,0.045458006161822606,False
Dice,TC,TanhExp,GN vs IN,0.8767917982602964,0.8794933150110091,0.002701516750712729,0.11398157090760552,73,0.11398157090760552,True
Dice,WT,LeakyReLU,BN vs IN,0.8781825203862762,0.8708174551070683,-0.007365065279207883,0.00712267347241391,73,0.02849069388965564,False
Dice,WT,PReLU,BN vs IN,0.8807308284920323,0.8752067393890532,-0.0055240891029790795,0.04508514840713973,73,0.1352554452214192,False
Dice,WT,ReLU,BN vs IN,0.8788067056253244,0.8736573652566957,-0.005149340368628685,0.22333470553128398,73,0.44666941106256797,False
Dice,WT,Swish,BN vs IN,0.8837176099683373,0.8761086416452999,-0.007608968323037368,0.005639808864514206,73,0.028199044322571032,False
Dice,WT,TanhExp,BN vs IN,0.879820614946381,0.8783640669394626,-0.0014565480069184122,0.8452651568962088,73,0.8452651568962088,False
Dice,WT,LeakyReLU,GN vs IN,0.8781825203862762,0.8751893847174825,-0.002993135668793667,0.654116523261359,73,1.0,False
Dice,WT,PReLU,GN vs IN,0.8807308284920323,0.8753590437405635,-0.005371784751468822,0.0005066718084347777,73,0.0025333590421738883,False
Dice,WT,ReLU,GN vs IN,0.8788067056253244,0.8798258041690245,0.001019098543700081,0.9583479929435526,73,1.0,True
Dice,WT,Swish,GN vs IN,0.8837176099683373,0.8779512337840637,-0.005766376184273558,0.007858995582024075,73,0.0314359823280963,False
Dice,WT,TanhExp,GN vs IN,0.879820614946381,0.8801737027393177,0.00035308779293674597,0.3052243926927565,73,0.9156731780782694,True
Dice,NCR,LeakyReLU,BN vs IN,0.6811466162634928,0.6660947489018237,-0.01505186736166908,0.021719967487769498,73,0.08687986995107799,False
Dice,NCR,PReLU,BN vs IN,0.6764427319921081,0.6803495135944782,0.003906781602370013,0.5619199046737784,73,1.0,True
Dice,NCR,ReLU,BN vs IN,0.6815735790369284,0.6542007984030351,-0.027372780633893257,0.0002762247189409539,73,0.0013811235947047695,False
Dice,NCR,Swish,BN vs IN,0.6802435729306976,0.6792154692950232,-0.0010281036356744044,0.6226972423562152,73,1.0,False
Dice,NCR,TanhExp,BN vs IN,0.6790874814677527,0.6671080437988792,-0.011979437668873438,0.03846828177636952,73,0.11540484532910855,False
Dice,NCR,LeakyReLU,GN vs IN,0.6811466162634928,0.6851580473554995,0.004011431092006634,0.4563207845499977,73,0.6762947477817878,True
Dice,NCR,PReLU,GN vs IN,0.6764427319921081,0.6794433035427494,0.0030005715506412622,0.22543158259392926,73,0.6762947477817878,True
Dice,NCR,ReLU,GN vs IN,0.6815735790369284,0.6761120823577272,-0.00546149667920115,0.3237351512599662,73,0.6762947477817878,False
Dice,NCR,Swish,GN vs IN,0.6802435729306976,0.6923032350151698,0.012059662084472178,0.11025678584018195,73,0.4410271433607278,True
Dice,NCR,TanhExp,GN vs IN,0.6790874814677527,0.6870248604123326,0.00793737894457991,0.030519012863963635,73,0.15259506431981817,True
Dice,ED,LeakyReLU,BN vs IN,0.7967695904482777,0.783796818803346,-0.012972771644931713,5.78379832740783e-05,73,0.0002891899163703915,False
Dice,ED,PReLU,BN vs IN,0.7998840578501386,0.7872784082082958,-0.012605649641842853,8.182230917630484e-05,73,0.00032728923670521937,False
Dice,ED,ReLU,BN vs IN,0.7971710210904706,0.7849740915805736,-0.012196929509896925,0.001287196848321237,73,0.003861590544963711,False
Dice,ED,Swish,BN vs IN,0.801145399513904,0.7913890392627011,-0.009756360251202856,0.0023431231801618324,73,0.004686246360323665,False
Dice,ED,TanhExp,BN vs IN,0.7984497888292956,0.7878218149886176,-0.01062797384067804,0.011002492086075177,73,0.011002492086075177,False
Dice,ED,LeakyReLU,GN vs IN,0.7967695904482777,0.7876912790314828,-0.009078311416794826,0.20313011982857954,73,0.4062602396571591,False
Dice,ED,PReLU,GN vs IN,0.7998840578501386,0.7868892858276109,-0.012994772022527745,4.9778218000895436e-06,73,2.4889109000447718e-05,False
Dice,ED,ReLU,GN vs IN,0.7971710210904706,0.7953097344643892,-0.0018612866260813155,0.12040890240049062,73,0.3612267072014719,False
Dice,ED,Swish,GN vs IN,0.801145399513904,0.7956790431124627,-0.005466356401441219,0.03137427047402408,73,0.12549708189609632,False
Dice,ED,TanhExp,GN vs IN,0.7984497888292956,0.7981809818152734,-0.00026880701402220986,0.33463443480412636,73,0.4062602396571591,False
HD95,ET,LeakyReLU,BN vs IN,1.651633378598385,2.1182253457590514,0.4665919671606664,0.22208484365906278,18,0.6662545309771883,False
HD95,ET,PReLU,BN vs IN,2.015676378741954,2.3039750319672514,0.2882986532252976,0.07133571790353876,25,0.28534287161415506,False
HD95,ET,ReLU,BN vs IN,2.1035214197364556,1.8653670815135819,-0.23815433822287368,0.5457624718626393,19,1.0,True
HD95,ET,Swish,BN vs IN,1.6037710287608329,2.3511276154469436,0.7473565866861107,0.04695252709636266,24,0.2347626354818133,False
HD95,ET,TanhExp,BN vs IN,1.933063234402342,1.8502483466121988,-0.08281488779014312,0.9878589334748631,23,1.0,True
HD95,ET,LeakyReLU,GN vs IN,1.651633378598385,2.2178886816778807,0.5662553030794957,0.0424386663042271,24,0.2121933315211355,False
HD95,ET,PReLU,GN vs IN,2.015676378741954,2.110765647394911,0.09508926865295697,0.909489715013144,22,1.0,False
HD95,ET,ReLU,GN vs IN,2.1035214197364556,2.0149934941875123,-0.08852792554894329,0.6011202499200776,18,1.0,True
HD95,ET,Swish,GN vs IN,1.6037710287608329,2.1250208248192233,0.5212497960583904,0.06924895454141766,25,0.2121933315211355,False
HD95,ET,TanhExp,GN vs IN,1.933063234402342,1.9117303862963084,-0.02133284810603353,0.05251225006808191,18,0.2121933315211355,True
HD95,TC,LeakyReLU,BN vs IN,1.9300824937400152,2.7646018065440128,0.8345193128039976,0.13272879172865082,29,0.26545758345730164,False
HD95,TC,PReLU,BN vs IN,2.2000414549435425,2.8586275405887656,0.658586085645223,0.00639388909436045,31,0.03196944547180225,False
