block,comparison,region,metric,delta,p_wilcoxon_raw,p_wilcoxon_holm,p_ttest,direction,significant,n_nonzero
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,ET,HD95,22.525359747523844,2.4809217517685056e-05,0.0007690857430482367,0.00014375476695125306,worse,yes,109
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,TC,HD95,0.023236023951099583,0.0008523510725968464,0.0238658300327117,0.994742913375711,worse,yes,101
S1 in-domain screen,IN + ELU vs IN + LeakyReLU,WT,HD95,-7.514090741683802,0.6718474473185916,1.0,0.1289309673532384,better,no,132
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,ET,HD95,5.47526989184103,0.3890303797726484,1.0,0.20992823998438526,worse,no,87
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,TC,HD95,1.873254370670839,0.0025701433455249667,0.06682372698364913,0.5955378427822422,worse,no,94
S1 in-domain screen,IN + GELU vs IN + LeakyReLU,WT,HD95,-8.324947223180757,0.7330106663542553,1.0,0.06918450652780134,better,no,112
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,ET,HD95,13.68711127084844,0.02056526218949406,0.43187050597937526,0.0059403399231780455,worse,no,90
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,TC,HD95,1.6011434452668603,0.615675549305148,1.0,0.6580500543043495,worse,no,97
S1 in-domain screen,IN + Swish vs IN + LeakyReLU,WT,HD95,3.2365653415276157,0.30263913330914116,1.0,0.5061217630386111,worse,no,129
S1 in-domain screen,IN + Mish vs IN + LeakyReLU,ET,HD95,25.780670112703568,0.0016110324035452095,0.043497874895720656,1.4075214505471796e-05,worse,yes,96
S1 in-domain screen,IN + Mish vs IN + LeakyReLU,TC,HD95,4.475425817447405,0.11389477418220828,1.0,0.25640529053556416,worse,no,104
S1 in-domain screen,IN + Mish vs IN + LeakyReLU,WT,HD95,-6.217271897120952,0.40776416968294504,1.0,0.192598803190133,better,no,126
S1 in-domain screen,IN + ELiSH vs IN + LeakyReLU,ET,HD95,12.789124795659724,0.052415617548681626,0.8608483398930045,0.015342846581908235,worse,no,101
S1 in-domain screen,IN + ELiSH vs IN + LeakyReLU,TC,HD95,2.4454414862977174,1.050120135426269e-05,0.0003360384433364061,0.5451277126817056,worse,yes,102
S1 in-domain screen,IN + ELiSH vs IN + LeakyReLU,WT,HD95,1.268296204976636,0.07833458885889644,1.0,0.7933748333175686,worse,no,122
S1 in-domain screen,IN + HardELiSH vs IN + LeakyReLU,ET,HD95,15.813319678613873,0.0031982253508635594,0.07995563377158899,0.002671088769415665,worse,no,89
S1 in-domain screen,IN + HardELiSH vs IN + LeakyReLU,TC,HD95,6.831657879014532,2.785501065361018e-07,9.19215351569136e-06,0.06586381831326218,worse,yes,118
S1 in-domain screen,IN + HardELiSH vs IN + LeakyReLU,WT,HD95,-8.847104924528793,0.09188763225314567,1.0,0.04695705258384402,better,no,133
S1 in-domain screen,IN + TanhExp vs IN + LeakyReLU,ET,HD95,14.209685299577544,0.041248863281929005,0.7854360719353304,0.0031762816284146393,worse,no,80
S1 in-domain screen,IN + TanhExp vs IN + LeakyReLU,TC,HD95,4.679949616134703,0.16904299333572004,1.0,0.2268439218086904,worse,no,95
S1 in-domain screen,IN + TanhExp vs IN + LeakyReLU,WT,HD95,-5.3798834768076915,0.22258360317790826,1.0,0.21316545147232502,better,no,125
S1 in-domain screen,IN + Logish vs IN + LeakyReLU,ET,HD95,22.389366630457793,0.00856909851014409,0.1970892657333141,5.709869460017465e-05,worse,no,91
S1 in-domain screen,IN + Logish vs IN + LeakyReLU,TC,HD95,6.532248715857563,0.03927180359676652,0.7854360719353304,0.11672322286684511,worse,no,100
S1 in-domain screen,IN + Logish vs IN + LeakyReLU,WT,HD95,-6.655578702639559,0.3088175792573633,1.0,0.11120031172607336,better,no,143
S1 in-domain screen,IN + Smish vs IN + LeakyReLU,ET,HD95,15.715874623756882,0.009023115697719408,0.19850854534982698,0.0036243226356530993,worse,no,88
S1 in-domain screen,IN + Smish vs IN + LeakyReLU,TC,HD95,8.627434209350369,0.00031114927859388075,0.009023329079222542,0.05299197884080124,worse,yes,103
S1 in-domain screen,IN + Smish vs IN + LeakyReLU,WT,HD95,4.344109724891091,0.04086851127299651,0.7854360719353304,0.3417707408715801,worse,no,133
S2 factorial,IN + PReLU vs IN + LeakyReLU,ET,Dice,-0.02607017060953598,0.007442225950363479,0.014884451900726958,0.06594321699654329,worse,yes,205
S2 factorial,IN + PReLU vs IN + LeakyReLU,TC,Dice,-0.013719258432137504,0.002953302678192715,0.008859908034578146,0.19006000326300732,worse,yes,217
S2 factorial,IN + PReLU vs IN + LeakyReLU,WT,Dice,0.025103549310146245,0.639285872347833,0.639285872347833,0.03188235567879575,better,no,219
S2 factorial,IN + PReLU vs IN + LeakyReLU,ET,HD95,10.889095661793313,0.00026059355185781286,0.0007817806555734386,0.06524139968442494,worse,yes,120
S2 factorial,IN + PReLU vs IN + LeakyReLU,TC,HD95,3.39537293476576,0.007230263890848132,0.014460527781696264,0.43399518638646983,worse,yes,125
S2 factorial,IN + PReLU vs IN + LeakyReLU,WT,HD95,-10.817075162345166,0.8715395362154139,0.8715395362154139,0.023089273952532897,better,no,133
S2 factorial,IN + Swish vs IN + LeakyReLU,ET,Dice,-0.028421186399703813,0.02597450336318241,0.07792351008954723,0.023830801281832285,worse,no,205
S2 factorial,IN + Swish vs IN + LeakyReLU,TC,Dice,-0.0032208161315612216,0.03718201896312445,0.07792351008954723,0.6924733083851757,worse,no,217
S2 factorial,IN + Swish vs IN + LeakyReLU,WT,Dice,-0.012219774697158847,0.980453706564477,0.980453706564477,0.29710217870609745,worse,no,219
S2 factorial,IN + Swish vs IN + LeakyReLU,ET,HD95,13.68711127084844,0.02056526218949406,0.06169578656848218,0.0059403399231780455,worse,no,90
S2 factorial,IN + Swish vs IN + LeakyReLU,TC,HD95,1.6011434452668603,0.615675549305148,0.615675549305148,0.6580500543043495,worse,no,97
S2 factorial,IN + Swish vs IN + LeakyReLU,WT,HD95,3.2365653415276157,0.30263913330914116,0.6052782666182823,0.5061217630386111,worse,no,129
S2 factorial,IN + TanhExp vs IN + LeakyReLU,ET,Dice,-0.034483834260987334,0.6263651411874478,0.6263651411874478,0.004658604291667489,worse,no,204
S2 factorial,IN + TanhExp vs IN + LeakyReLU,TC,Dice,-0.014825729587956027,0.0002538698490339719,0.0007616095471019158,0.08600521894266752,worse,yes,217
S2 factorial,IN + TanhExp vs IN + LeakyReLU,WT,Dice,0.013308618331797195,0.2295301855882963,0.4590603711765926,0.1962475624279315,better,no,219
S2 factorial,IN + TanhExp vs IN + LeakyReLU,ET,HD95,14.209685299577544,0.041248863281929005,0.12374658984578701,0.0031762816284146393,worse,no,80
S2 factorial,IN + TanhExp vs IN + LeakyReLU,TC,HD95,4.679949616134703,0.16904299333572004,0.3380859866714401,0.2268439218086904,worse,no,95
S2 factorial,IN + TanhExp vs IN + LeakyReLU,WT,HD95,-5.3798834768076915,0.22258360317790826,0.3380859866714401,0.21316545147232502,better,no,125
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,ET,Dice,-0.01588323751462406,0.09652145837314619,0.19304291674629237,0.14230419907477332,worse,no,202
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,TC,Dice,-0.018478124251853245,2.6645352591003757e-13,7.993605777301127e-13,0.011661744343159277,worse,yes,215
S2 factorial,BN + LeakyReLU vs IN + LeakyReLU,WT,Dice,0.025256355728833668,0.26064242838190865,0.26064242838190865,0.009006103338445634,better,no,219
