Norm,Activation,Seed,Dice_ET,Dice_TC,Dice_WT,Dice_NCR,Dice_ED,HD95_ET,HD95_TC,HD95_WT,HD95_NCR,HD95_ED,Sens_ET,Sens_TC,Sens_WT,Sens_NCR,Sens_ED,Prec_ET,Prec_TC,Prec_WT,Prec_NCR,Prec_ED
bn,leaky_relu,42,0.8105155268672983,0.860402505862641,0.8744587087974005,0.6602603701867233,0.785866965875287,2.1092264938388015,3.0339639224073913,2.252998393793817,5.976499115354458,3.6225395795532647,0.8479408619958089,0.8758419044165318,0.8833592621005264,0.6622439066853062,0.806716458324289,0.79475005006116,0.8668536870794699,0.880210150914949,0.7375126259682098,0.7924898186523784
bn,leaky_relu,1337,0.8048963621971804,0.8625054087252502,0.8715977603792641,0.6574849687749356,0.7833139260576685,2.274267993498183,2.622571226827042,3.1268310251619638,6.059166183611849,4.502450345739302,0.8568773085666219,0.8620822573977158,0.9017320821176481,0.6129637506533556,0.8406582194910236,0.7776296899606517,0.8835637879675442,0.8581729219279265,0.7946267644879336,0.7554439108201899
bn,leaky_relu,2025,0.8094927317451232,0.8686790541373623,0.8708174551070682,0.6660947489018236,0.783796818803346,2.1182253457590514,2.7646018065440128,3.010022164816651,6.047421558612342,4.443969513656128,0.8418587513705021,0.8699513426828891,0.9202598949509883,0.6624352017426595,0.861669661557258,0.7972957096650507,0.8801526642523329,0.8400977467867252,0.7406451584385145,0.7403459480639234
bn,prelu,42,0.8065132696037237,0.8698041158189558,0.876653038353115,0.6727841454029971,0.792338779231157,2.0084010752485786,2.3112031646913502,2.095640851890568,5.526106070178464,3.2471867336064624,0.8375584237219497,0.8499489514263173,0.8897586228229942,0.6256022735458273,0.8309695622655243,0.7992500568801694,0.903936234806127,0.878556349942673,0.8158998175906172,0.7820157796212079
bn,prelu,1337,0.7927348157941525,0.8566925882233678,0.8717295938874962,0.6798784833699785,0.7867542823090394,2.8102501382113982,3.4847098619472128,2.3900098216400116,6.40218090846789,3.5354195414879945,0.7870993932627514,0.8180667565746906,0.8812693909355886,0.6467069537295698,0.8287474720773401,0.8365821176191409,0.9211714444947541,0.8830662649516913,0.800943316133362,0.778781630901169
bn,prelu,2025,0.8002850255668694,0.8583302913628541,0.8752067393890536,0.6803495135944784,0.7872784082082961,2.303975031967252,2.8586275405887656,2.1305825643259118,5.307492101265271,4.0182331056212455,0.7923983551522366,0.8327572617397614,0.885342937252432,0.6698187379262962,0.8265570500050564,0.8352922499604566,0.9004236618828194,0.881244653258831,0.7629943928463072,0.7765472279066531
bn,relu,42,0.8127350192468193,0.8727840398346539,0.8776543927077768,0.6750894375951858,0.7932013951069617,2.063883242248429,2.5692894936562314,2.289718191269664,5.229407317912758,3.4895059508438266,0.8307502694426061,0.8482219975253281,0.8920993278178827,0.6371732107524386,0.8328834087713626,0.8143257416731692,0.9092917261595848,0.8781754472802039,0.7861282717240388,0.7816190207591236
bn,relu,1337,0.8068741651029641,0.8608666553864197,0.8733072150397021,0.6530488922228455,0.7835062956220963,2.1097538254707557,2.991379419997437,2.2465119752101956,5.764544309243616,4.242539131909622,0.8473201767709773,0.8568581039306041,0.8766424923121493,0.616780032144717,0.8053313461517885,0.7869607205115893,0.881125357249435,0.8869334946006621,0.7696350530330628,0.7905052610065988
bn,relu,2025,0.8039654060342497,0.8620684784629641,0.8736573652566957,0.6542007984030348,0.7849740915805735,1.8653670815135819,2.611301139040167,2.3585486810325667,6.687695142954872,3.8982796195483926,0.8408866980993667,0.8537287804773109,0.8739747745872015,0.6226785814512397,0.8013996857352843,0.7894115042134466,0.8898180015447028,0.8933375812937041,0.7833329812996196,0.7993888398120566
bn,swish,42,0.8104383073154376,0.8691552443584313,0.8794706855627631,0.6728522470874059,0.7926067974615285,1.9819868802739966,2.7888126157208353,1.9715914757912907,5.704199515029375,3.2299189035720364,0.846033088436222,0.8660412488342506,0.8886122214866741,0.636849671979513,0.8205065853263503,0.7983566849357204,0.887901571386067,0.8844266041503942,0.7807917940235455,0.7918210218562941
