Norm,Activation,n_seeds,Dice_ET_mean,Dice_ET_sd,Dice_TC_mean,Dice_TC_sd,Dice_WT_mean,Dice_WT_sd,Dice_NCR_mean,Dice_NCR_sd,Dice_ED_mean,Dice_ED_sd,HD95_ET_mean,HD95_ET_sd,HD95_TC_mean,HD95_TC_sd,HD95_WT_mean,HD95_WT_sd,HD95_NCR_mean,HD95_NCR_sd,HD95_ED_mean,HD95_ED_sd,Sens_ET_mean,Sens_ET_sd,Sens_TC_mean,Sens_TC_sd,Sens_WT_mean,Sens_WT_sd,Sens_NCR_mean,Sens_NCR_sd,Sens_ED_mean,Sens_ED_sd,Prec_ET_mean,Prec_ET_sd,Prec_TC_mean,Prec_TC_sd,Prec_WT_mean,Prec_WT_sd,Prec_NCR_mean,Prec_NCR_sd,Prec_ED_mean,Prec_ED_sd
bn,leaky_relu,3,0.8083015402698673,0.002992984421195173,0.8638623229084178,0.0043018862039004985,0.8722913080945776,0.0019171433004348199,0.6612800292878275,0.004394525795826849,0.7843259035787672,0.0013562636551472341,2.167239944365345,0.09279815359077181,2.8070456519261486,0.20895477382039762,2.796617194590811,0.47439659347297575,6.027695619192883,0.04472466386741383,4.189653146316232,0.4920044208492904,0.8488923073109776,0.007554349820077021,0.8692918348323788,0.0069034907455769075,0.9017837463897208,0.018450370676192464,0.645880953027107,0.028507293935686427,0.8363481131241901,0.027728981212101232,0.7898918165622875,0.010695321748345263,0.8768567130997823,0.008829175410105135,0.8594936065432002,0.020088787846115858,0.7575948496315527,0.03210880297312661,0.762759892512164,0.026830737989745286
bn,prelu,3,0.799844370321582,0.0068997884119385445,0.8616089984683925,0.0071442619762574185,0.8745297905432216,0.0025305673586002862,0.6776707141224847,0.004238441076127349,0.7887904899161642,0.003084063032225056,2.374208748475743,0.4055120974083687,2.884846855742443,0.5871925420945302,2.205411079285497,0.16081900564339371,5.7452596933038755,0.5793160873395621,3.6002797935719006,0.3895937193726058,0.8056853907123126,0.02772972095426887,0.8335909899135898,0.01595744071397883,0.8854569836703382,0.004245764883812323,0.6473759884005644,0.022115823206938584,0.8287580281159737,0.0022062750700351528,0.823708141486589,0.02119113886994548,0.9085104470612334,0.011104511882298098,0.8809557560510651,0.0022687947339134424,0.7932791755234287,0.027272702108712722,0.7791148794763433,0.0027494645702994575
bn,relu,3,0.8078581967946777,0.004466852107719888,0.8652397245613459,0.006561144289232637,0.8748729910013915,0.0024151186063684953,0.6607797094070219,0.01240596479828701,0.7872272607698773,0.005225544665590388,2.013001383077589,0.12989589235233046,2.7239900175646117,0.23251680366589406,2.298259615837475,0.05650462647534126,5.8938822567037485,0.7376971422314273,3.8767749007672805,0.37697689935048895,0.83965238143765,0.008353628578871912,0.8529362939777477,0.004372254521388799,0.8809055315724112,0.009785447626646904,0.6255439414494651,0.010494195984980524,0.8132048135528119,0.01715516892191254,0.7968993221327351,0.015141388928620164,0.8934116949845743,0.014422969832891352,0.88614884105819,0.007611460953530559,0.7796987686855736,0.008826788299838023,0.7905043738592598,0.008884909559684195
bn,swish,3,0.8010603320860564,0.010665646116663756,0.8608141882986589,0.0082647024545263,0.8749688948458894,0.00516682145873748,0.6767642600577518,0.00342390272580899,0.7887780186103077,0.0056101690698913765,2.24880809813131,0.23315623024451734,2.8187298639493163,0.04897176947370563,2.3038981845614086,0.4627219651839226,7.2696554054345315,2.7074186072328126,3.5768356876343312,0.5813372837863506,0.799543192640707,0.04604479615471074,0.8366917520819358,0.02924285194068122,0.8828628315123837,0.011723440057139517,0.6561541850344453,0.01673611881339593,0.8227279169928212,0.019043732774444554,0.8290205863228676,0.028967539839116374,0.9048083294348178,0.017972942050067074,0.883662399515109,0.0178209089645275,0.7692248959413394,0.010017933732725344,0.7839699931002206,0.02714327808327153
bn,tanhexp,3,0.8098158739551047,0.004130384742671101,0.8651724087201118,0.0037270323448931443,0.8761820892092004,0.006040470936998485,0.665555456817262,0.004012941134924753,0.7873510357286376,0.006923902283515651,1.9959257052829233,0.1421871906304896,2.690980668989191,0.03575295313719222,2.1546602062751607,0.34813876766551194,5.730160268381767,0.24961959047233556,3.5618011910085907,0.3416179696247173,0.8313985168293158,0.0056708151553043745,0.8567280800700461,0.005826742882061476,0.8810286873089828,0.012604488004213413,0.6461124655398326,0.0147972312120002,0.8119289670695635,0.013166250121583694,0.8108778416148509,0.007837360694597083,0.8942769159647317,0.008323191838360968,0.8878138629651083,0.01090145444702948,0.7670183761725925,0.01145333734586724,0.7915524753384818,0.012824663089649583
gn,leaky_relu,1,0.8071879765276879,,0.8694574316727093,,0.8751893847174826,,0.6851580473554998,,0.7876912790314827,,2.2178886816778802,,2.5247051716668256,,2.0487130574672094,,5.5051878151849305,,3.1864754337238237,,0.8121529925838136,,0.8383106245218098,,0.8595166925231855,,0.6509917777214378,,0.7950241160677669,,0.8220003649831253,,0.9220903182467225,,0.906648211163036,,0.8195845669197862,,0.8081610808445465,
gn,prelu,1,0.8072881229366515,,0.8684730848873475,,0.8753590437405637,,0.6794433035427494,,0.7868892858276111,,2.110765647394911,,2.5057393528546767,,2.222794013217426,,5.495525011390199,,4.178230624274255,,0.826641864891028,,0.8426399533668452,,0.8827087072591473,,0.6311277721682876,,0.827966908176211,,0.8066766071692316,,0.9119240360118798,,0.8819778009390165,,0.8229193330371544,,0.7743727383342328,
gn,relu,1,0.8114889518705083,,0.8658093790002017,,0.8798258041690245,,0.6761120823577272,,0.7953097344643894,,2.0149934941875123,,2.405460187229584,,2.7469963020535317,,5.519178352777491,,4.037517936020261,,0.8258918268854192,,0.848145236682388,,0.8883024098104192,,0.6513569618646423,,0.830446755540745,,0.8131641196312318,,0.9022848452320555,,0.8852801270374253,,0.7929018291571158,,0.7849575501744904,
gn,swish,1,0.8094745440037879,,0.8724705877077293,,0.8779512337840637,,0.6923032350151698,,0.7956790431124626,,2.1250208248192237,,2.469625518226225,,3.027919680798098,,4.618006763848816,,4.201588076971439,,0.8090909033641089,,0.8564397391659517,,0.8738418386724268,,0.6904888169716653,,0.8130548499768641,,0.8260090590971506,,0.9067504544166827,,0.8942216888978204,,0.7705265111017372,,0.7996247467336559,
gn,tanhexp,2,0.8165513265658921,0.000988098376323235,0.8791103367478796,0.0005416130538111977,0.8817618168905681,0.0022459325712948387,0.683208877181736,0.005396615238498038,0.7989062231909871,0.0010256461895280795,1.9092203268593608,0.003549760098094025,2.5729991289274863,0.16699129358375986,2.1261846599059386,0.12428531750687642,5.417890034732873,0.01983218526363571,3.7396466009229927,0.45209564649649847,0.8498969136401955,0.001417541091935609,0.8712098557803631,0.0016605860146478035,0.8880918358983425,0.016994552002142827,0.6598865618917693,0.004512305065774956,0.8237299725939885,0.027035858498356408,0.8005699950124806,0.00039636758095508835,0.9002371093264137,0.002783191167319073,0.8877950271408119,0.02037252614640778,0.7875364654684449,0.01819504281609808,0.798021761404347,0.024341496989372897
in,leaky_relu,1,0.8117264885625954,,0.8752451073503884,,0.8781825203862762,,0.6811466162634932,,0.7967695904482776,,1.6516333785983854,,1.9300824937400147,,3.0064580886260805,,5.184460506544263,,4.179770939696362,,0.8532398592045386,,0.8700974946799371,,0.8994090099933867,,0.6488528567275735,,0.8466664051853576,,0.7901971196939495,,0.8951691550243067,,0.8700101459089769,,0.783275771843114,,0.7741264976313371,
in,prelu,1,0.809225146100204,,0.874822328526165,,0.8807308284920321,,0.6764427319921082,,0.7998840578501383,,2.0156763787419543,,2.2000414549435425,,3.0682964992383686,,5.575042190142089,,4.133258005986262,,0.8625931743693738,,0.8803764743834848,,0.8860924134860345,,0.6502534247012544,,0.825023722027805,,0.778180249112062,,0.8871828157706871,,0.8861855769292796,,0.7851303249662843,,0.7975211118840967,
in,relu,1,0.8131104561900009,,0.8776448857056098,,0.8788067056253246,,0.6815735790369285,,0.7971710210904707,,2.103521419736455,,2.297864541671976,,3.1305750761899627,,5.200457545698636,,4.277270381132349,,0.853359398958946,,0.8683089464655155,,0.8867989989826405,,0.6468227160458577,,0.8290854101955548,,0.7903372780717118,,0.9008227267844624,,0.8831500129326201,,0.7970864585938983,,0.789355785346501,
in,swish,1,0.8162964962300419,,0.8799811146100663,,0.8837176099683373,,0.6802435729306977,,0.801145399513904,,1.603771028760833,,1.9555952864192652,,2.081273373399221,,4.985169975925648,,4.318613816484964,,0.864985745655334,,0.8755369911096935,,0.8962227102133175,,0.6438083611132603,,0.8383473225529708,,0.7863503374754398,,0.8950356820084286,,0.8824072286567294,,0.7900822620265463,,0.7876891995707339,
in,tanhexp,1,0.8124710854664715,,0.8767917982602962,,0.8798206149463811,,0.6790874814677528,,0.798449788829296,,1.933063234402342,,2.220291220648117,,2.003546505975277,,5.2879285061876775,,3.0875547908284324,,0.835995872624144,,0.863732400725387,,0.8934939916918941,,0.6588010077865865,,0.8395879562509467,,0.8079497290962513,,0.9043098013045553,,0.87805388728332,,0.7741807911123896,,0.7821759472491607,
